,tweet_id,timestamp,rating_numerator,rating_denominator,retweet_count,favorite_count,month,year
968,725729321944506368,2016-04-28 16:52:08+00:00,12,10,1603,4789,4,2016
969,725458796924002305,2016-04-27 22:57:10+00:00,13,10,554,1300,4,2016
970,724983749226668032,2016-04-26 15:29:30+00:00,12,10,1165,3436,4,2016
971,724771698126512129,2016-04-26 01:26:53+00:00,11,10,566,2149,4,2016
972,724405726123311104,2016-04-25 01:12:38+00:00,10,10,1508,4862,4,2016
973,724049859469295616,2016-04-24 01:38:33+00:00,10,10,1615,3973,4,2016
974,724046343203856385,2016-04-24 01:24:35+00:00,10,10,512,2451,4,2016
975,724004602748780546,2016-04-23 22:38:43+00:00,11,10,1387,3828,4,2016
976,723912936180330496,2016-04-23 16:34:28+00:00,12,10,1123,3583,4,2016
977,723688335806480385,2016-04-23 01:41:59+00:00,12,10,2636,7030,4,2016
978,723673163800948736,2016-04-23 00:41:42+00:00,10,10,812,2786,4,2016
981,722613351520608256,2016-04-20 02:30:23+00:00,12,10,1492,4585,4,2016
982,721503162398597120,2016-04-17 00:58:53+00:00,11,10,1640,4216,4,2016
983,721001180231503872,2016-04-15 15:44:11+00:00,11,10,551,2342,4,2016
984,720785406564900865,2016-04-15 01:26:47+00:00,12,10,698,2860,4,2016
985,720775346191278080,2016-04-15 00:46:48+00:00,10,10,564,2250,4,2016
986,720415127506415616,2016-04-14 00:55:25+00:00,10,10,1355,3782,4,2016
987,720389942216527872,2016-04-13 23:15:21+00:00,11,10,2259,5857,4,2016
988,720340705894408192,2016-04-13 19:59:42+00:00,10,10,872,2618,4,2016
990,720043174954147842,2016-04-13 00:17:25+00:00,11,10,1814,4564,4,2016
991,719991154352222208,2016-04-12 20:50:42+00:00,10,10,1589,4474,4,2016
992,719704490224398336,2016-04-12 01:51:36+00:00,12,10,1293,4171,4,2016
993,719551379208073216,2016-04-11 15:43:12+00:00,10,10,1707,4640,4,2016
994,719367763014393856,2016-04-11 03:33:34+00:00,11,10,686,2598,4,2016
995,719339463458033665,2016-04-11 01:41:07+00:00,10,10,1118,4090,4,2016
996,719332531645071360,2016-04-11 01:13:34+00:00,11,10,854,3177,4,2016
997,718971898235854848,2016-04-10 01:20:33+00:00,10,10,984,3199,4,2016
998,718939241951195136,2016-04-09 23:10:47+00:00,12,10,1580,4799,4,2016
999,718631497683582976,2016-04-09 02:47:55+00:00,10,10,7207,17307,4,2016
1000,718613305783398402,2016-04-09 01:35:37+00:00,11,10,427,2252,4,2016
1001,718540630683709445,2016-04-08 20:46:50+00:00,10,10,920,2241,4,2016
1003,718454725339934721,2016-04-08 15:05:29+00:00,13,10,1375,4498,4,2016
1005,718234618122661888,2016-04-08 00:30:51+00:00,11,10,912,3560,4,2016
1006,717841801130979328,2016-04-06 22:29:56+00:00,11,10,542,2266,4,2016
1007,717790033953034240,2016-04-06 19:04:14+00:00,10,10,985,2631,4,2016
1008,717537687239008257,2016-04-06 02:21:30+00:00,11,10,1657,5304,4,2016
1009,717428917016076293,2016-04-05 19:09:17+00:00,11,10,406,1475,4,2016
1011,717047459982213120,2016-04-04 17:53:31+00:00,12,10,1733,5790,4,2016
1012,717009362452090881,2016-04-04 15:22:08+00:00,10,10,867,2972,4,2016
1013,716802964044845056,2016-04-04 01:41:58+00:00,10,10,1048,3955,4,2016
1014,716791146589110272,2016-04-04 00:55:01+00:00,11,10,1457,7738,4,2016
1015,716730379797970944,2016-04-03 20:53:33+00:00,12,10,395,1132,4,2016
1016,716447146686459905,2016-04-03 02:08:05+00:00,13,10,5299,11971,4,2016
1018,716285507865542656,2016-04-02 15:25:47+00:00,12,10,962,2552,4,2016
1019,716080869887381504,2016-04-02 01:52:38+00:00,11,10,1702,6238,4,2016
1020,715928423106027520,2016-04-01 15:46:52+00:00,11,10,792,2927,4,2016
1021,715758151270801409,2016-04-01 04:30:16+00:00,13,10,1282,3409,4,2016
1022,715733265223708672,2016-04-01 02:51:22+00:00,10,10,1524,4277,4,2016
1023,715704790270025728,2016-04-01 00:58:13+00:00,11,10,511,2551,4,2016
1024,715696743237730304,2016-04-01 00:26:15+00:00,10,10,1160,3606,4,2016
1025,715680795826982913,2016-03-31 23:22:53+00:00,12,10,1441,3962,3,2016
1026,715360349751484417,2016-03-31 02:09:32+00:00,11,10,1408,5030,3,2016
1027,715342466308784130,2016-03-31 00:58:29+00:00,10,10,621,2789,3,2016
1028,715220193576927233,2016-03-30 16:52:36+00:00,10,10,585,2202,3,2016
1029,715200624753819648,2016-03-30 15:34:51+00:00,12,10,1682,4743,3,2016
1030,715009755312439296,2016-03-30 02:56:24+00:00,12,10,1104,3811,3,2016
1032,714962719905021952,2016-03-29 23:49:30+00:00,12,10,3829,6741,3,2016
1033,714957620017307648,2016-03-29 23:29:14+00:00,10,10,1277,3807,3,2016
1035,714606013974974464,2016-03-29 00:12:05+00:00,12,10,827,3337,3,2016
1036,714485234495041536,2016-03-28 16:12:09+00:00,10,10,1006,2449,3,2016
1037,714258258790387713,2016-03-28 01:10:13+00:00,10,10,667,2815,3,2016
1039,714214115368108032,2016-03-27 22:14:49+00:00,13,10,796,2111,3,2016
1040,714141408463036416,2016-03-27 17:25:54+00:00,10,10,1277,3998,3,2016
1041,713919462244790272,2016-03-27 02:43:58+00:00,12,10,720,3038,3,2016
1042,713909862279876608,2016-03-27 02:05:49+00:00,12,10,483,1747,3,2016
1044,713761197720473600,2016-03-26 16:15:05+00:00,12,10,1238,4456,3,2016
1045,713411074226274305,2016-03-25 17:03:49+00:00,11,10,1184,4091,3,2016
1046,713177543487135744,2016-03-25 01:35:51+00:00,10,10,2586,6638,3,2016
1047,713175907180089344,2016-03-25 01:29:21+00:00,10,10,1328,4080,3,2016
1048,712809025985978368,2016-03-24 01:11:29+00:00,10,10,6072,17515,3,2016
1049,712717840512598017,2016-03-23 19:09:09+00:00,10,10,4500,11299,3,2016
1050,712668654853337088,2016-03-23 15:53:42+00:00,10,10,1097,3818,3,2016
1051,712438159032893441,2016-03-23 00:37:48+00:00,11,10,1416,4898,3,2016
1052,712309440758808576,2016-03-22 16:06:19+00:00,12,10,24,221,3,2016
1053,712097430750289920,2016-03-22 02:03:52+00:00,10,10,930,3450,3,2016
1055,712085617388212225,2016-03-22 01:16:55+00:00,11,10,434,3012,3,2016
1057,711968124745228288,2016-03-21 17:30:03+00:00,10,10,2089,7410,3,2016
1058,711743778164514816,2016-03-21 02:38:34+00:00,11,10,906,2612,3,2016
1059,711732680602345472,2016-03-21 01:54:29+00:00,10,10,3683,8069,3,2016
1060,711694788429553666,2016-03-20 23:23:54+00:00,13,10,16578,30213,3,2016
1062,711363825979756544,2016-03-20 01:28:47+00:00,11,10,1015,3320,3,2016
1064,711008018775851008,2016-03-19 01:54:56+00:00,11,10,559,2737,3,2016
1065,710997087345876993,2016-03-19 01:11:29+00:00,12,10,1258,4209,3,2016
1066,710844581445812225,2016-03-18 15:05:29+00:00,10,10,610,2348,3,2016
1067,710833117892898816,2016-03-18 14:19:56+00:00,12,10,476,2466,3,2016
1069,710609963652087808,2016-03-17 23:33:12+00:00,12,10,2151,4422,3,2016
1070,710588934686908417,2016-03-17 22:09:38+00:00,12,10,1696,4170,3,2016
1071,710296729921429505,2016-03-17 02:48:31+00:00,12,10,668,2197,3,2016
